Name,Type,Status,Timestamp,gender,first_name,last_name,nin,business_address,business_phone,id_type,business_types,business_email,rc_number,business_name,business-address,business-phone,id-type,business-types,business-email,busines-email,rc-number,business-name
Habeeb,business,active,11/23/24,Male,,,,haddress,1234567890,National ID card,Corporation,ha@gmail.com,123456,Habee,,,,,,,,
Profile,business,active,12/4/24,,,,,"Irewole, Kwara State",08135194520,,Partnership,rasheedat+26@gmail.com,0000000,Rashco,,,,,,,,
Profile,business,active,12/3/24,,,,,,,,Partnership,,Neem,,,,,,,,,
Profile,business,active,12/6/24,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,Partnership,hi@neem.co,0000000,Neem,,,,,,,,
Profile,business,active,12/7/24,,,,,,,,,,,,,2348089722636,,,,random,,
Profile,business,active,12/7/24,,,,,,,,,,,,,2348089722636,,,random,,,
Profile,business,active,12/12/24,,,,,,,,,,,,,,,Sole Proprietorship,,,Neem,
Profile,business,active,12/8/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",+2349055755671,,Partnership,hi@neem.co,,0000000,Neem
Profile,business,active,12/11/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",+2347039627810,,Sole Proprietorship,hi@neem.co,,0000000,Neem
Profile,business,active,12/13/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",+2347039627810,,Sole Proprietorship,hi@neem.co,,0000000,Neem
Naima,business,blacklisted,11/25/24,Female,,,,Naima.Inc,08162771727,National ID card,Cooperative (Co-op),naima1905@gmail.com,,,,,,,,,,
Profile,business,active,12/16/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",+2349055755671,,Partnership,hi@neem.co,,0000000,Neem
wunmi,business,active,11/5/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/16/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/16/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/16/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,Partnership,hi@neem.co,,0000000,Neem
Profile,business,active,12/16/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,Limited Liability Partnership (LLP),hi@neem.co,,0000000,Neem
Profile,business,active,12/19/24,,,,,,,,,,,,,,,Partnership,,,Neem,
Profile,business,active,12/23/24,,,,,,,,,,,,,,,Cooperative (Co-op),,,Neem,
Profile,business,active,12/30/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/30/24,,,,,,,,,,,,Sweet Sensation,+2349133779826,,Sole Proprietorship,abdussamadenterprise@gmail.com,,1234848487474,Yisau Enterprises
Profile,business,active,12/30/24,,,,,,,,,,,,High-rise Block B,+2349133779814,,Sole Proprietorship,abdussamad@gmail.com,,12388886586868,Yisau Enterprises
Profile,business,active,12/30/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",+2348123884099,,Sole Proprietorship,hi@neem.co,,0000000,Neem
Profile,business,active,12/31/24,,,,,,,,,,,,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",+2349056789012,,Limited Liability Partnership (LLP),hi@neem.co,,0000000,Testing Business
Profile,business,active,12/31/24,,,,,,,,,,,,Eko Bridge,+2349087654312,,Partnership,testingmanualbusiness@mailinator.com,,1234567,Testing manual business
