Name,Type,Status,Timestamp,business-types,last_name,first_name,nin,rc-number,business-name,business-email,business-address,gender,id_type,rc_number,business_name,business_email,business_phone,business_types,business_address,busines-email,business-phone,id-type
Profile,business,active,12/16/24,Partnership,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349055755671,
Profile,business,active,12/16/24,Partnership,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
Profile,business,active,1/15/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
Profile,business,active,12/16/24,Limited Liability Partnership (LLP),,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
Profile,business,active,12/19/24,Partnership,,,,Neem,,,,,,,,,,,,,,
Profile,business,active,12/23/24,Cooperative (Co-op),,,,Neem,,,,,,,,,,,,,,
Tonye,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/30/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/30/24,Sole Proprietorship,,,,1234848487474,Yisau Enterprises,abdussamadenterprise@gmail.com,Sweet Sensation,,,,,,,,,,+2349133779826,
Profile,business,active,12/30/24,Sole Proprietorship,,,,12388886586868,Yisau Enterprises,abdussamad@gmail.com,High-rise Block B,,,,,,,,,,+2349133779814,
Profile,business,active,12/30/24,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2348123884099,
Profile,business,active,12/31/24,Limited Liability Partnership (LLP),,,,0000000,Testing Business,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349056789012,
Profile,business,active,1/15/25,Limited Liability Partnership (LLP),,,,4567876,Faill,frill@yopmail.com,2 kene street,,,,,,,,,,+23438096590,
Habeeb 2 Busi,business,active,11/23/24,,,,,,,,,Male,National ID card,123456,Hab,co@gmail.com,07060591341,Cooperative (Co-op),coaddress,,,
Tutu,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Partnership,Gambo street,,,
Naima,business,active,11/25/24,Sole proprietorship,,,,,,business@gmail.com,Address,Male,,,,,,,,,08162771727,NIN
Habeeb,business,active,11/25/24,,,,,,,,,,National ID card,,,hab@gmail.com,07060121212,,Hab address,,,
Profile,business,active,1/15/25,Limited Liability Partnership (LLP),,,,4567876,Faill,frill@yopmail.com,2 kene street,,,,,,,,,,+23438096590,
Profile,business,active,11/25/24,,,,,,,,,Male,,,,,,,,,,
The Best,business,active,11/26/24,,Ibrahim,Azeez,,,,,,,,,,,,,,,,
aji bukola,business,active,11/26/24,,,,,,,,,Female,National ID card,,,rasheedat+5@assurdly.com,08135194520,Partnership,"irewolede, martin ojo street",,,
aji bukola,business,active,11/26/24,,,,,,,,,Female,National ID card,,,rasheedat+5@assurdly.com,08135194520,Partnership,"irewolede, martin ojo street",,,
Profile,business,active,1/9/25,,,,,,,adewunmiakinsanya@gmail.com,,,,,,,,,,,+2348089722636,
Profile,business,active,1/15/25,Limited Liability Partnership (LLP),,,,4567876,Faill,frill@yopmail.com,2 kene street,,,,,,,,,,+23438096590,
Profile,business,active,1/15/25,Nonprofit Organization,,,,4567877,thank you,thank@yopmail.com,2 kene street,,,,,,,,,,+23438096643,
Profile,business,active,1/9/25,Sole Proprietorship,,,,0000000,Faill,dreaa@yopmail.com,2 kene street,,,,,,,,,,+23438092123,
Profile,business,active,12/16/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/31/24,Partnership,,,,1234567,Testing manual business,testingmanualbusiness@mailinator.com,Eko Bridge,,,,,,,,,,+2349087654312,
Profile,business,active,1/2/25,Partnership,,,,0000000,Neem,neem@yopmail.com,2 kene street,,,,,,,,,,+23438096579,
Profile,business,active,1/2/25,Limited Liability Partnership (LLP),,,,0000000,Fail,frail@yopmail.com,2 kene stret lagos,,,,,,,,,,+23438096599,
Profile,business,active,1/3/25,Limited Liability Partnership (LLP),,,,0000000,Fail,fraiil@yopmail.com,2 kene street,,,,,,,,,,+23438096578,
Profile,business,active,1/10/25,Sole Proprietorship,,,,12345678,Testing Company,testing@gmail.com,"42 Hughes Avenue, Alagomeji, Yaba",,,,,,,,,,+23409133779814,
Profile,business,active,12/16/24,,,,,,,,,,,,,,,,,,,
McCullough - Hammes,business,blacklisted,10/4/24,,Ibrahim,Azeez,1234567890,,,,,,,,,,,,,,,
wunmi,business,active,11/29/24,,,,,,,,,,,,,,,,,,,
Tonye,business,active,11/21/24,,,,,,,,,,,,,,,,,,,
Gambo Usman,business,active,11/24/24,,,,,,,,,Female,National ID card,,,gamboltd@yopmail.com,08162771727,Sole Proprietorship,Gambo Ltd.,,,
Bayer LLC Personal Account,business,active,1/10/25,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/10/25,Sole Proprietorship,,,,3335455⁶,,,,,,,,,,,,,,
My business,business,active,1/12/25,,,,,,,adewunmiakinsanya@gmail.com,,,,,,,,,,,+2348089722636,
My business,business,active,1/12/25,,,,,,,adewunmiakinsanya@gmail.com,,,,,,,,,,,+2348089722636,
Profile,business,active,1/13/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
wunmi,business,active,11/11/24,,Ajidagba,Rasheedat,,,,,,,,,,,,,,,,
wunmi,business,active,11/11/24,,Azeez,Ibrahim,,,,,,,,,,,,,,,,
wunmi,business,active,11/11/24,,Azeez,Ibrahim,,,,,,,,,,,,,,,,
Azeez-Business,business,active,10/6/24,,Ibrahim,Azeez,1234567890,,,,,,,,,,,,,,,
wunmi,business,active,11/5/24,,,,,,,,,1234567890,,,,,,,,,,
wunmi,business,active,11/13/24,,Brown,Adex,,,,,,,,,,,,,,,,
wunmi,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
wunmi,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
wunmi,business,active,11/5/24,,,,,,,,,,,,,,,,,,,
Naima,business,active,11/25/24,,,,,,,,,Female,National ID card,,,naima1905@gmail.com,08162771727,Cooperative (Co-op),Naima.Inc,,,
Profile,business,active,1/16/25,Sole Proprietorship,,,,Neeem,,,,,,,,,,,,,,
Profile,business,active,1/16/25,Sole Proprietorship,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
Profile,business,active,1/24/25,,,,,,,adewunmiakinsanya@gmail.com,,,,,,,,,,,+2348089722636,
Williamson - Wisoky Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/21/25,Sole Proprietorship,,,,RC010000,Evely,evely@gmail.com,support@evely.com,,,,,,,,,,+2349030253741,
Profile,business,active,1/21/25,Sole Proprietorship,,,,RC3212121121,Mira,mira@gmail.com,test@mira.com,,,,,,,,,,+2347085284790,
Profile,business,active,1/22/25,Partnership,,,,Neem,,,,,,,,,,,,,,
Profile,business,active,1/22/25,Partnership,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,,
Profile,business,active,1/22/25,Partnership,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349055755671,
Profile,business,active,1/27/25,Limited Liability Partnership (LLP),,,,4567876,Neem,frail@yopmail.com,2 kene stret lagos,,,,,,,,,,+2349138096554,
Profile,business,active,1/23/25,Nonprofit Organization,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349055755671,
Tremblay and Sons Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Lynch - Howell Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Ward - Jast Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/27/25,Corporation,,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349055755671,
Conn - O'Hara Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Profile,business,active,12/8/24,Partnership,,,,0000000,,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349055755671,
Schroeder - Cormier Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Koepp - Halvorson Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Dickens LLC Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
"Kessler, Conroy and Padberg Business",business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/30/25,Cooperative (Co-op),,,,0000000,Neem,hi@neem.co,"LAGOS, NIGERIA, LAGOS, Ibeju-Lekki, LAGOS",,,,,,,,,,+2349055755671,
"Dibbert, Miller and Larson Business",business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Spencer - Predovic Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Nolan Group Business,business,active,1/30/25,,,,,,,,,,,,,,,,,,,
Profile,business,blacklisted,1/7/25,Partnership,,,,123455,Janne venture,test@jane.co,yhedhhd,,,,,,,,,,+23408023838488,
Marks - Cronin,business,active,11/7/24,,,,,,,,,,,,,,,,,,,
Profile,business,active,1/31/25,Sole Proprietorship,,,,,,,,,,,,,,,,,,
