Name,Type,Status,Timestamp,first_name,last_name,nin,identification,gender,random,business_name,profileId,fields,business-address,business-phone,id-type,business-types,business-email,business_address,business_phone,id_type,business_types,business_email,phone_number,email,phone,formState
Profile,personal,active,12/7/24,,,,,,,,,,,2348089722636,,,random,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,2348089722636,,,random,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,2348089722636,,,random,,,,,,,,,
Profile,personal,active,12/10/24,,,,,,,,,,,+2348162771727,,,tuesday@yopmail.com,,,,,,,,,
Profile,personal,active,12/11/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/11/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/11/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/12/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/13/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,Azeeez,Ibraheeem,70123456789,Voter’s Card,Male,,,,,,,,,,,,,,,,azeez@gmail.com,07012345678,
Profile,personal,active,12/17/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/18/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/20/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/15/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/15/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/18/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,
,personal,inactive,11/6/24,,,,Driver’s License,,,,,,,,,,,,,,,,07084385638,,,
Profile,personal,active,12/16/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/19/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/20/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/20/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/23/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/23/24,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/28/24,,,,,,,,,,,,,,,,,,,,,,,
