Name,Type,Status,Timestamp,first_name,last_name,identification,nin,gender,random,business_name,business_address,business_phone,id_type,business_types,business_email,phone_number,profileId,fields,business-address,business-phone,id-type,business-types,business-email,email,phone,formState,employment-status,sector,occupation,currency,monthly-income
Tonye,personal,active,11/21/24,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,
Tutu,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/21/24,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,
Tonye,personal,active,11/22/24,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,
Gambo,personal,active,11/22/24,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,
Tolu,personal,active,11/22/24,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,
wunmi,personal,active,11/21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/1/24,Rasheedat,Ajidagba,,,,,,,,,,,,,,,,,,,,,,,,,,
,personal,active,11/6/24,,,Driver’s License,,,,,,,,,,07084385638,,,,,,,,,,,,,,,
Gambo,personal,active,11/25/24,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/25/24,Habeeb,Habeeb,,1234567890,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/25/24,habeeb,seun,,,,,,,,,,,,,,,,,,,,,,,,,,
,personal,active,11/7/24,Olamide,Micheal,,,,,,,,,,,07084385638,019308ee-9025-7cca-a550-970e8dd19d5e,,Address,1231211211,National ID card,Sole Proprietorship,hab@gmail.com,,,,,,,,
Tonye,personal,active,11/26/24,,,,,male,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Temi,Lola,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/28/24,Kogi,state,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/2/24,HabeebA,LawalA,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Ibrahim,Azeez,,,Male,,,,,,,,,,,,,,,,azeez@assurdly.com,09055755671,,,,,,
Profile,personal,active,12/4/24,Ibrahim,Azeez,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,11/11/24,Azeeez,Ibraheeem,Voter’s Card,70123456789,Male,,,,,,,,,,,,,,,,azeez@gmail.com,07012345678,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/4/24,Gambo,Usman,,,Female,,,,,,,,,,,,,,,,gambo+20@assurdly.com,08162771727,,,,,,
Profile,personal,active,12/5/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,"$500 - $1,000"
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,"$500 - $1,000"
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,Less than $500
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,Less than $500
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,Less than $500
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,Less than $500
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,Less than $500
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,NGN - Nigerian Naira,"$1,000 - $2,000"
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,EUR - Euro,"$1,000 - $2,000"
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,"$1,000 - $2,000"
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,Full-time,Technology,Software Engineer,USD - United States Dollar,"$500 - $1,000"
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,2348089722636,,,random,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,2348089722636,,,random,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,2348089722636,,,random,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,2348089722636,,,random,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,2348089722636,,,random,,,,,,,,
Profile,personal,active,12/7/24,,,,,,,,,,,,,,,,,2348089722636,,,random,,,,,,,,
